GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated),Engine RPM(rpm),Fuel used (trip)(l),Distance to empty (Estimated)(km),Trip Distance(km),Kilometers Per Litre(Instant)(kpl),Fuel Level (From Engine ECU)(%),Horsepower (At the wheels)(hp),Fuel pressure(psi),Acceleration Sensor(Total)(g),Engine Oil Temperature(°C),Speed (OBD)(km/h),GPS Latitude(°),GPS Longitude(°),Speed (GPS)(km/h),GPS Accuracy(m),GPS Satellites
Tue Apr 16 20:51:54 ART 2013,16-abr-2013 20:51:53.482,-60.74111793,-32.73731402,0.0,3.0,37.29999923706055,0.0,-0.54936433,6.04300737,7.45565844,-0.10734206,-,-,-,0.21206725,-,-,-,-,-0.00000279,-,-,-32.73731232,-60.74111938,0,3,6
Tue Apr 16 20:51:55 ART 2013,16-abr-2013 20:51:54.477,-60.74111792,-32.73731402,0.0,3.0,37.29999923706055,0.0,-0.94176739,-0.78480613,3.68858886,-0.69101834,-,-,-,0.21206725,-,-,-,-,-0.21515463,-,-,-32.73731232,-60.74111938,0,3,6
Tue Apr 16 20:51:56 ART 2013,16-abr-2013 20:51:55.476,-60.74111792,-32.73731402,0.0,3.0,37.29999923706055,0.0,-1.56961226,2.2759378,9.02527046,-0.12503862,-,-,-,0.21206725,-,-,-,-,-0.07544333,-,-,-32.73731232,-60.74111938,0,3,6
Tue Apr 16 20:51:57 ART 2013,16-abr-2013 20:51:56.479,-60.74111792,-32.73731401,0.0,3.0,37.29999923706055,0.0,-1.33417046,2.2759378,9.1822319,-0.11336946,-,-,-,0.21206725,-,-,-,-,-0.03037289,-,-,-32.73731232,-60.74111938,0,3,8
Tue Apr 16 20:51:58 ART 2013,16-abr-2013 20:51:57.477,-60.74111791,-32.73731399,0.0,3.0,37.29999923706055,0.0,-1.41265106,2.35441852,9.1822319,-0.11028558,-,-,-,0.21206725,-,-,-,-,-0.01809907,-,-,-32.73731232,-60.74111938,0,3,7
Tue Apr 16 20:51:59 ART 2013,16-abr-2013 20:51:58.468,-60.7411179,-32.73731397,0.0,3.0,37.29999923706055,0.0,-1.25568986,2.2759378,9.10375118,-0.12214953,-,-,-,0.21206725,-,-,-,-,-0.02836043,-,-,-32.73731232,-60.74111938,0,3,8
Tue Apr 16 20:52:00 ART 2013,16-abr-2013 20:51:59.481,-60.7411179,-32.73731394,0.0,3.0,37.29999923706055,0.0,-1.02024806,2.51137972,8.71134853,-0.15723842,-,-,-,0.21206725,-,-,-,-,-0.06967717,-,-,-32.73731232,-60.74111938,0,3,8
Tue Apr 16 20:52:01 ART 2013,16-abr-2013 20:52:00.472,-60.74111798,-32.73731393,0.0,3.0,37.29999923706055,0.0,-1.17720926,2.35441852,9.02527046,-0.12890422,-,-,-,0.21206725,-,-,-,-,-0.04133325,-,-,-32.73731232,-60.74111938,0,3,9
Tue Apr 16 20:52:02 ART 2013,16-abr-2013 20:52:01.480,-60.74111799,-32.73731386,0.0,3.0,37.29999923706055,0.0,-1.49113166,2.51137972,8.39742565,-0.18093854,-,-,-,0.21206725,-,-,-,-,-0.09338536,-,-,-32.73731232,-60.74111938,0,3,9
Tue Apr 16 20:52:03 ART 2013,16-abr-2013 20:52:02.479,-60.74111791,-32.73731381,0.0,3.0,37.29999923706055,0.0,-1.17720926,2.11897659,8.39742565,-0.19628656,-,-,-,0.21206725,-,-,-,-,-0.101047,-,-,-32.73731232,-60.74111938,0,3,9
